Gene	average	median	min	max	Q1	Q3	var	IQR
MIR4722	0.9302832249999999	0.9803414500000001	0.5687089	0.9897453	0.9775795749999999	0.98417745	0.021365788895610718	0.006597875000000086
DQ594582	0.9762596875	0.9797146999999999	0.9578974	0.9851203	0.972258975	0.984240175	1.0327542790696415e-4	0.011981200000000025
DQ583205	0.9693219791666667	0.9686504666666667	0.9589577	0.9815948	0.9659435916666667	0.9719061083333334	6.278320360188508e-5	0.005962516666666695
ANKRD62	0.96977714375	0.968428975	0.9567604000000001	0.9893755500000001	0.9636194625000001	0.974686975	1.0961670496888401e-4	0.011067512499999932
DQ592427	0.9630627125	0.96479705	0.9509517	0.9699913	0.9611467	0.9679658	4.7882406569821456e-5	0.006819099999999967
DQ594020	0.9627118125	0.9647275	0.9523102	0.9737499	0.9561556499999999	0.9675094	5.8707082024107015e-5	0.011353750000000051
BC031657	0.96169036875	0.9612671500000001	0.9522418500000001	0.96970405	0.9598859	0.9635796875	2.8247866382812496e-5	0.0036937875000000453
AK294743	0.9472243125	0.9607879500000001	0.8977556	0.9709052	0.93146045	0.9643023000000001	6.720075756898218e-4	0.03284185000000006
MIR4746	0.9603625874999999	0.9605971	0.9378494	0.9741882	0.954476475	0.9717541	1.617902302241064e-4	0.017277624999999963
LOC339975	0.956947725	0.95999075	0.9167224	0.9827681	0.94939995	0.9674819499999999	4.0408262805642826e-4	0.01808199999999993
QRICH2	0.957360559375	0.9571372625	0.9520291375	0.9624133375	0.95593849375	0.95854693125	1.014984522762282e-5	0.0026084375000000604
AK310472	0.95571985	0.9536903	0.9498341	0.9660284	0.9522771	0.957353875	3.23162484914286e-5	0.005076775000000033
DNAJC5G	0.9476903291666667	0.9535706833333333	0.9195255666666666	0.9622141666666666	0.9433726666666667	0.9570307333333334	2.2392623374490093e-4	0.01365806666666669
EHMT1	0.9531624375	0.95327125	0.9346962	0.9657433	0.9456173	0.964510125	1.3682498691982152e-4	0.018892825000000002
AK024242	0.9497678187499999	0.9504127250000001	0.93204025	0.96788885	0.9419759624999999	0.9551504375	1.3160620522709835e-4	0.013174475000000019
BC044611	0.940575525	0.94746285	0.9029345	0.9716446	0.9292099	0.95505655	5.740758634078571e-4	0.02584664999999997
MIR3132	0.9444272125	0.9470326499999999	0.9114338	0.9741094	0.93968185	0.9507333499999999	3.43501491555536e-4	0.011051499999999881
BC039313	0.949163675	0.945593	0.9129972	0.9808878	0.934853925	0.969722825	5.622651828478575e-4	0.03486889999999998
ZNF865	0.9456205125	0.94485375	0.9348852	0.9589351	0.9408327999999999	0.949669125	5.644821381267888e-5	0.00883632500000009
KLHL10	0.93740215	0.94144635	0.9148494	0.9544192	0.9268698750000001	0.9456292000000001	1.8367633158571388e-4	0.018759324999999993
AK001533	0.9394481208333333	0.9414038499999999	0.9138609	0.9540144666666667	0.9368091833333333	0.9471282583333334	1.6214825704474232e-4	0.010319075000000066
AB062083	0.936332275	0.93877435	0.9157405	0.946955	0.9332546500000001	0.9438621500000001	1.100158665392861e-4	0.010607499999999992
DQ571410	0.930834375	0.93874065	0.8741376	0.9561637	0.927349175	0.943865725	6.310463895935717e-4	0.016516549999999963
LOC442028	0.9363660333333333	0.9379349333333333	0.9201362333333333	0.9517764	0.9282632416666666	0.942866	1.2220378913841296e-4	0.014602758333333354
FLJ42280	0.9331110499999999	0.9366129999999999	0.8728109	0.9626979	0.93073035	0.9451257	7.471082367857151e-4	0.014395349999999918
DQ575955	0.9372775359075153	0.9363893241495895	0.926979809603515	0.950594353640416	0.9310733589759908	0.9429755198672667	7.84550395005797e-5	0.011902160891275937
CTAG2	0.9294329200187785	0.935922122696322	0.910207620790982	0.942247160257287	0.916751542474247	0.9389414831189872	1.6353027748304078e-4	0.022189940644740225
SYCP3	0.9340555291666667	0.934536175	0.9265687333333333	0.94343025	0.9312150291666667	0.9356813208333333	2.4464723586805685e-5	0.004466291666666677
BC113076	0.94062985	0.934431	0.9302028	0.9598434	0.9306866500000001	0.95000235	1.5486108127142856e-4	0.019315699999999936
MIR369	0.932451096875	0.9344277249999999	0.917395475	0.9407428250000001	0.93096969375	0.93644225	5.4571615409364104e-5	0.0054725562499999825
LOC285593	0.8831720625	0.93384505	0.4974359	0.9534448	0.9312258999999999	0.939930575	0.024370765131094107	0.00870467500000005
GRID2IP	0.937395525	0.9332617000000001	0.9293197	0.9565478	0.9318897500000001	0.9415700250000001	8.148083347642835e-5	0.009680275000000016
TSSK4	0.9313042625	0.93321115	0.9178948	0.93920275	0.9287493875	0.9375452	7.12473461312502e-5	0.008795812499999944
BC031304	0.9337596208333333	0.9321670333333334	0.9192928666666667	0.9493803333333334	0.9261540416666667	0.9429574000000001	1.1859703195236151e-4	0.01680335833333335
AK095057	0.9304032083333333	0.9317521833333333	0.8888985666666667	0.9545156666666667	0.9229319	0.9422244166666667	4.415608062348414e-4	0.019292516666666648
