Gene	average	median	min	max	Q1	Q3	var	IQR
MIR4722	0.9978346	0.9978346	0.9978346	0.9978346	0.9978346	0.9978346	NA	0
NPTX2	0.9882885	0.9882885	0.9882885	0.9882885	0.9882885	0.9882885	NA	0
LOC144481	0.9881445	0.9881445	0.9881445	0.9881445	0.9881445	0.9881445	NA	0
LINC00511	0.9867952	0.9867952	0.9867952	0.9867952	0.9867952	0.9867952	NA	0
TSPY1	0.986154491632092	0.986154491632092	0.986154491632092	0.986154491632092	0.986154491632092	0.986154491632092	NA	0
RAC3	0.9855998	0.9855998	0.9855998	0.9855998	0.9855998	0.9855998	NA	0
LRP3	0.9853241	0.9853241	0.9853241	0.9853241	0.9853241	0.9853241	NA	0
MMP23A	0.985169388843115	0.985169388843115	0.985169388843115	0.985169388843115	0.985169388843115	0.985169388843115	NA	0
AK309744	0.984807716189924	0.984807716189924	0.984807716189924	0.984807716189924	0.984807716189924	0.984807716189924	NA	0
RPUSD1;CHTF18	0.9844885	0.9844885	0.9844885	0.9844885	0.9844885	0.9844885	NA	0
TNFRSF13C	0.9843841	0.9843841	0.9843841	0.9843841	0.9843841	0.9843841	NA	0
RIMS4	0.9843368	0.9843368	0.9843368	0.9843368	0.9843368	0.9843368	NA	0
BC139719	0.9842584	0.9842584	0.9842584	0.9842584	0.9842584	0.9842584	NA	0
KCTD3	0.9841565703980585	0.9841565703980585	0.9841565703980585	0.9841565703980585	0.9841565703980585	0.9841565703980585	NA	0
TEX22	0.9841435	0.9841435	0.9841435	0.9841435	0.9841435	0.9841435	NA	0
SPEN	0.9838638166326905	0.9838638166326905	0.9838638166326905	0.9838638166326905	0.9838638166326905	0.9838638166326905	NA	0
GAGE13	0.983676366217175	0.983676366217175	0.983676366217175	0.983676366217175	0.983676366217175	0.983676366217175	NA	0
LOC338651	0.9832424666666667	0.9832424666666667	0.9832424666666667	0.9832424666666667	0.9832424666666667	0.9832424666666667	NA	0
FLJ00072	0.9831664	0.9831664	0.9831664	0.9831664	0.9831664	0.9831664	NA	0
C11orf80	0.9831330333333334	0.9831330333333334	0.9831330333333334	0.9831330333333334	0.9831330333333334	0.9831330333333334	NA	0
AK056135	0.9829283	0.9829283	0.9829283	0.9829283	0.9829283	0.9829283	NA	0
SLC22A3	0.9826866	0.9826866	0.9826866	0.9826866	0.9826866	0.9826866	NA	0
BC040628	0.9826723500000001	0.9826723500000001	0.9826723500000001	0.9826723500000001	0.9826723500000001	0.9826723500000001	NA	0
LOC729264	0.9826234	0.9826234	0.9826234	0.9826234	0.9826234	0.9826234	NA	0
MAFA	0.9825939	0.9825939	0.9825939	0.9825939	0.9825939	0.9825939	NA	0
HOOK3	0.9822755	0.9822755	0.9822755	0.9822755	0.9822755	0.9822755	NA	0
B3GNT1	0.9822384	0.9822384	0.9822384	0.9822384	0.9822384	0.9822384	NA	0
CCDC110	0.98216105	0.98216105	0.98216105	0.98216105	0.98216105	0.98216105	NA	0
CORO2A	0.9819424	0.9819424	0.9819424	0.9819424	0.9819424	0.9819424	NA	0
C7orf13;RNF32	0.9818823	0.9818823	0.9818823	0.9818823	0.9818823	0.9818823	NA	0
STAG3L1	0.9817381	0.9817381	0.9817381	0.9817381	0.9817381	0.9817381	NA	0
ZNF783	0.9814391	0.9814391	0.9814391	0.9814391	0.9814391	0.9814391	NA	0
MBOAT1	0.9814314	0.9814314	0.9814314	0.9814314	0.9814314	0.9814314	NA	0
LOC285074	0.9813075	0.9813075	0.9813075	0.9813075	0.9813075	0.9813075	NA	0
BC087857	0.9812355	0.9812355	0.9812355	0.9812355	0.9812355	0.9812355	NA	0
BRAF	0.9812004333333334	0.9812004333333334	0.9812004333333334	0.9812004333333334	0.9812004333333334	0.9812004333333334	NA	0
AK023178	0.9810842	0.9810842	0.9810842	0.9810842	0.9810842	0.9810842	NA	0
LINC00476	0.9810229	0.9810229	0.9810229	0.9810229	0.9810229	0.9810229	NA	0
LOC100507588	0.9809259	0.9809259	0.9809259	0.9809259	0.9809259	0.9809259	NA	0
ATP9B	0.980865925	0.980865925	0.980865925	0.980865925	0.980865925	0.980865925	NA	0
CTDP1	0.9806041999999999	0.9806041999999999	0.9806041999999999	0.9806041999999999	0.9806041999999999	0.9806041999999999	NA	0
RNF103-CHMP3	0.9805906	0.9805906	0.9805906	0.9805906	0.9805906	0.9805906	NA	0
KLF13	0.9802239	0.9802239	0.9802239	0.9802239	0.9802239	0.9802239	NA	0
MIR4746	0.9800574	0.9800574	0.9800574	0.9800574	0.9800574	0.9800574	NA	0
OMA1	0.9798873317533346	0.9798873317533346	0.9798873317533346	0.9798873317533346	0.9798873317533346	0.9798873317533346	NA	0
LRWD1	0.9798605	0.9798605	0.9798605	0.9798605	0.9798605	0.9798605	NA	0
DQ583205	0.9797982333333333	0.9797982333333333	0.9797982333333333	0.9797982333333333	0.9797982333333333	0.9797982333333333	NA	0
CHAMP1	0.97950708	0.97950708	0.97950708	0.97950708	0.97950708	0.97950708	NA	0
DQ592427	0.9794826	0.9794826	0.9794826	0.9794826	0.9794826	0.9794826	NA	0
BX161496	0.97943015	0.97943015	0.97943015	0.97943015	0.97943015	0.97943015	NA	0
DJ031144	0.9794001	0.9794001	0.9794001	0.9794001	0.9794001	0.9794001	NA	0
EEF1DP3	0.9793835	0.9793835	0.9793835	0.9793835	0.9793835	0.9793835	NA	0
FAM160B2	0.9793007	0.9793007	0.9793007	0.9793007	0.9793007	0.9793007	NA	0
MIR4738	0.9792935	0.9792935	0.9792935	0.9792935	0.9792935	0.9792935	NA	0
DQ594582	0.9792888	0.9792888	0.9792888	0.9792888	0.9792888	0.9792888	NA	0
STAG3L3	0.9792193333333333	0.9792193333333333	0.9792193333333333	0.9792193333333333	0.9792193333333333	0.9792193333333333	NA	0
KLF2	0.9790413666666666	0.9790413666666666	0.9790413666666666	0.9790413666666666	0.9790413666666666	0.9790413666666666	NA	0
AIF1L	0.9790287	0.9790287	0.9790287	0.9790287	0.9790287	0.9790287	NA	0
TMEM183A	0.9787685673897	0.9787685673897	0.9787685673897	0.9787685673897	0.9787685673897	0.9787685673897	NA	0
PTCD1	0.97874108	0.97874108	0.97874108	0.97874108	0.97874108	0.97874108	NA	0
PLCB3	0.9785385666666666	0.9785385666666666	0.9785385666666666	0.9785385666666666	0.9785385666666666	0.9785385666666666	NA	0
LOC100287482	0.9784541	0.9784541	0.9784541	0.9784541	0.9784541	0.9784541	NA	0
MAP3K4	0.9782662	0.9782662	0.9782662	0.9782662	0.9782662	0.9782662	NA	0
BC113076	0.9781098	0.9781098	0.9781098	0.9781098	0.9781098	0.9781098	NA	0
BC017818	0.97795	0.97795	0.97795	0.97795	0.97795	0.97795	NA	0
NOTCH2NL	0.977913842116772	0.977913842116772	0.977913842116772	0.977913842116772	0.977913842116772	0.977913842116772	NA	0
TOMM22	0.9776727333333334	0.9776727333333334	0.9776727333333334	0.9776727333333334	0.9776727333333334	0.9776727333333334	NA	0
RAB5A	0.9774709	0.9774709	0.9774709	0.9774709	0.9774709	0.9774709	NA	0
