Gene	average	median	min	max	Q1	Q3	var	IQR
MIR4722	0.9868468444444445	0.9878776	0.9817506	0.9909211	0.9841192	0.9890032	1.0405856117777735e-5	0.0048839999999999995
DQ594582	0.9837583222222223	0.9824653	0.9763388	0.9934296	0.9807623	0.9846539	2.7587642981944494e-5	0.003891599999999995
DQ583205	0.9737099444444445	0.9753608333333333	0.9574612666666666	0.9837826	0.9700919666666666	0.9784170333333333	7.058049582944431e-5	0.008325066666666658
DQ592427	0.9732636555555556	0.9736458	0.9642397	0.9840549	0.9690898	0.9760221	3.242711133527754e-5	0.006932300000000002
DQ594020	0.9631444222222222	0.965975	0.9368601	0.9794881	0.9565277	0.9694209	1.5827462312694484e-4	0.012893200000000049
ANKRD62	0.9603814777777778	0.9659408	0.91431455	0.9791034	0.9614513499999999	0.9731216	4.4834898496569516e-4	0.011670250000000104
BC031657	0.9637255055555556	0.9648991	0.95719045	0.9712465	0.9600308	0.966468	2.358492020965288e-5	0.006437200000000032
MIR4746	0.9617053555555556	0.9631316	0.9406263	0.9773257	0.960179	0.9670427	1.0703670534027755e-4	0.006863700000000028
AK294743	0.9618042777777778	0.9619477	0.9177282	0.9815368	0.9607645	0.9728673	3.340709588594445e-4	0.01210279999999997
QRICH2	0.9616133791666667	0.9608135	0.9564213874999999	0.9665841749999999	0.9598252	0.9645749125	1.3831003839140647e-5	0.004749712500000003
LOC339975	0.9392088555555556	0.9599425	0.8419886	0.9821237	0.9457412	0.9727753	0.0028842043648227805	0.02703410000000006
MIR3132	0.9577538222222223	0.9583593	0.9448229	0.9703411	0.9518756	0.9635569	6.322911126444415e-5	0.011681300000000006
ZNF865	0.9569391555555555	0.9582315	0.945036	0.9659614	0.9541875	0.96105	5.297337237277789e-5	0.006862499999999994
AK310472	0.9548968777777778	0.9559505	0.9365182	0.968532	0.9520496	0.9587099	9.220811564444451e-5	0.006660299999999952
EHMT1	0.9514303666666667	0.9530293	0.9321463	0.9715914	0.9433754	0.9627606	1.9800411693250027e-4	0.01938519999999999
DQ571410	0.9411071888888889	0.9487519	0.8920254	0.9713231	0.9421999	0.9512438	5.182395120011113e-4	0.009043899999999994
LOC285593	0.8494926666666667	0.9464286	0.44	0.9740782	0.8923973	0.9612287	0.04045721163655	0.0688314000000001
AK095057	0.9432666851851852	0.9451984	0.9195637	0.9559206666666666	0.9386385	0.9487920666666667	1.2559944905308646e-4	0.010153566666666669
