Gene	average	median	min	max	Q1	Q3	var	IQR
MIR4722	0.98195565	0.9848395999999999	0.9547471	0.9911206	0.98316515	0.987856525	1.3155781906285744e-4	0.004691374999999942
DQ594582	0.97875745	0.97881905	0.9716786	0.9865854	0.97305845	0.983772075	3.5195610142857134e-5	0.010713624999999949
DQ583205	0.972480525	0.9738022666666666	0.9598885333333333	0.9807610333333333	0.9666634250000001	0.9790141333333333	5.951646779579347e-5	0.012350708333333182
MIR4746	0.9692283125	0.9704936	0.9526541	0.9834705	0.962788325	0.9751510499999999	9.837256187839306e-5	0.012362724999999908
AK294743	0.967088375	0.96788685	0.9484576	0.9765533	0.9646775000000001	0.97295965	8.190466744499983e-5	0.008282149999999877
DQ592427	0.9653823874999999	0.9668413	0.9553076	0.9721139	0.96182205	0.9696633	3.4541576538392657e-5	0.007841250000000022
ANKRD62	0.90024019375	0.9638007	0.69811355	0.9760429500000001	0.87971825	0.9727935125	0.014047288798086746	0.09307526249999998
BC031657	0.9569516499999999	0.9631561	0.91459275	0.9703699	0.9583090375000001	0.965344875	3.2040490293071467e-4	0.00703583749999992
LOC339975	0.9337921625	0.9581881	0.7987824	0.9728443	0.942474975	0.960062225	0.0033563404398741074	0.017587250000000054
QRICH2	0.9575500515625001	0.9573194	0.9522754625000001	0.9638284500000001	0.954429865625	0.9597879406250001	1.734419560037683e-5	0.005358075000000073
ZNF865	0.9427529125	0.9512647	0.8837757	0.9597419	0.942265225	0.9558184000000001	6.208121261755347e-4	0.013553175000000084
DQ594020	0.9531241875	0.95115165	0.9447986	0.9653864	0.9455889	0.9602238000000001	6.561220657839276e-5	0.014634900000000117
AK310472	0.947751825	0.9477983999999999	0.9392716	0.9546753	0.9440938999999999	0.951435475	2.972680479357136e-5	0.0073415750000001
MIR1-2	0.9378655124999999	0.9467588499999999	0.8787565	0.9772047	0.9129289249999999	0.962675575	0.0011778659792898208	0.049746650000000114
EHMT1	0.9392238625	0.942475	0.895279	0.9590365	0.935207	0.9524151500000001	3.9852730970839237e-4	0.01720815000000009
BC039313	0.9374058375	0.94180615	0.8766415	0.9723122	0.9289866999999999	0.951368625	0.00088370512748553605	0.022381925000000025
MIR4672	0.9365854625	0.9411967	0.9115549	0.9465307	0.935906275	0.94283445	1.3269246879125016e-4	0.006928174999999981
AK001533	0.9308177	0.9406259833333334	0.8838758666666666	0.9490345333333333	0.9238327333333334	0.9427056416666667	4.4985289862063574e-4	0.018872908333333327
MIR3132	0.9293675375	0.9387816	0.8569905	0.9569931	0.9265612999999999	0.9457323249999999	9.991961940283931e-4	0.019171025000000008
bpl 41-16	0.936275178125	0.9379900624999999	0.918150825	0.95178395	0.93248243125	0.93985775	9.56348945750782e-5	0.007375318750000082
BC113076	0.934300625	0.9375146999999999	0.9168122	0.9446944	0.9263199	0.9434467499999999	1.141625034907145e-4	0.017126849999999916
SLC25A31	0.9314836339285715	0.9360584357142857	0.9099961	0.9396525857142858	0.9299371678571429	0.9365057821428572	9.349038584209576e-5	0.006568614285714314
MIR1225	0.931037825	0.9335113125	0.920123275	0.938765925	0.925233025	0.9362376812500001	4.914549897357143e-5	0.011004656250000022
LOC442028	0.91019765	0.932365	0.8251554	0.9497138333333333	0.8965555666666667	0.9427698416666668	0.0024370409609047617	0.04621427500000008
SYCP3	0.9315885375	0.9321525583333333	0.9235128833333334	0.9381944666666666	0.9293493291666667	0.9345322125	2.2584707776011796e-5	0.005182883333333277
DNAJC5G	0.9135301833333334	0.9312344	0.8158297999999999	0.9454045333333333	0.9071094916666667	0.941348575	0.0019222747469257164	0.034239083333333364
MIR1237	0.9283725890625	0.9308323375	0.9006382625	0.9474106	0.9256122125	0.93285758125	1.727099062854212e-4	0.007245368749999925
AK024242	0.9320269875	0.9302155999999999	0.91319375	0.9551107000000001	0.9182835125	0.94461395	2.6523595936482256e-4	0.02633043750000008
MIR1307	0.8496472125	0.9297607	0.3639203	0.9559542999999999	0.8675671	0.9406452750000001	0.03970124852746284	0.07307817500000002
BC031304	0.9249793208333333	0.92949365	0.9027511	0.9508181333333333	0.9111744666666666	0.9337050916666666	2.634823815488689e-4	0.022530625000000026
AX746671	0.927711015625	0.928953025	0.91490225	0.93959885	0.92255795	0.93205804375	6.024242833391715e-5	0.00950009375000005
AK095057	0.9301113791666666	0.92865025	0.9113663	0.9500286666666666	0.9240581916666667	0.9394400999999999	1.8502233490061513e-4	0.015381908333333194
GRID2IP	0.9298416	0.92762045	0.910971	0.945735	0.9248794	0.939673325	1.357350717085714e-4	0.014793924999999986
TSSK4	0.926746375	0.925466375	0.90653855	0.94593515	0.9223420124999999	0.933316325	1.3767013014428522e-4	0.010974312500000027
CCDC79	0.9221563652777778	0.92346685	0.9088654555555555	0.936062511111111	0.9133142861111112	0.9294307722222223	9.616269872978602e-5	0.01611648611111105
X15673	0.91479005	0.9216752500000001	0.8529329	0.945188	0.9107311	0.9294798499999999	7.77862720811429e-4	0.01874874999999987
FKBP10	0.9176800625	0.9206441000000001	0.8695511499999999	0.95180245	0.9092154625	0.9280806625000001	6.202387628126795e-4	0.018865200000000137
KLHL10	0.9169063125	0.9206094	0.8808113	0.9330332	0.90931905	0.93165125	3.2642795160125045e-4	0.022332200000000024
SUMO1P1	0.92147974375	0.9203439250000001	0.8971759	0.94190875	0.9174133125	0.9275320499999999	1.7193094179031199e-4	0.010118737499999919
AK096233	0.9139987625	0.9196802500000001	0.8778965	0.9404571	0.902376625	0.926918875	4.382937610398228e-4	0.024542249999999988
LOC729799	0.9165171958333334	0.9196571416666667	0.8753249	0.9425051833333333	0.9127900333333333	0.927094025	3.94933320830298e-4	0.014303991666666738
IGBP1P1	0.9100470875	0.9191135500000001	0.8655499	0.9393427	0.89938845	0.92462305	6.029249784726785e-4	0.025234599999999996
FTMT	0.91001731	0.9185317	0.85116892	0.9326274	0.90556112	0.92439928	6.808211138758861e-4	0.018838160000000048
BC002534	0.9015955375	0.918488125	0.7682532	0.9334535	0.9136060125000001	0.92413175	0.002966806511674823	0.010525737499999965
LOC641364	0.91962545	0.9184641250000001	0.8842811500000001	0.9515102499999999	0.907982775	0.9340962625	4.311267316899982e-4	0.026113487499999977
BC044611	0.9194971875	0.9179358	0.8750396	0.9492259	0.9119167	0.9327485499999999	5.182847680641058e-4	0.020831849999999874
DQ575955	0.9166799713626241	0.9173299463750335	0.87791766219445	0.950958849380743	0.8998467809921508	0.9372645818137165	6.521094312416409e-4	0.03741780082156576
DQ593624	0.8458512375	0.9167275	0.6005198	0.9465325	0.7629404750000001	0.9369861249999999	0.016374006737794104	0.17404564999999983
SNORD72	0.9146402499999999	0.9159119	0.8773511	0.9367264	0.9079366499999999	0.924539825	3.597506693771422e-4	0.01660317500000008
DQ576584	0.9048185875	0.91505955	0.8559362	0.9210028	0.8985784499999999	0.9186223	4.955972933155353e-4	0.020043850000000085
ERCC6	0.8473255749999999	0.9147349499999999	0.5631411	0.9515564	0.83462295	0.9248757	0.019121724882907858	0.09025274999999999
AF086351	0.8994591277722301	0.9146764138866235	0.794822153892875	0.927256749499585	0.9055188264870517	0.9192641391707979	0.0018684012747174458	0.013745312683746125
LOC285593	0.9137569625	0.9138572	0.8419363	0.9589573	0.902349625	0.9378353500000001	0.0013252776379455362	0.035485725000000023
MRPL42P5	0.90584455	0.9137376500000001	0.8675226	0.9250725	0.899086625	0.918366725	3.9357352871714237e-4	0.019280100000000022
DPH3P1	0.9086375375	0.91311985	0.8805371	0.9374269	0.894357375	0.918324125	3.801439548426785e-4	0.023966750000000037
LRRC39	0.91127865	0.9127854	0.8719867	0.9419108	0.89908975	0.928901325	5.291598011628581e-4	0.02981157499999998
ANGPTL7	0.9144683875	0.9122815	0.9047656	0.9313483	0.911148525	0.915711325	6.230356600410737e-5	0.004562799999999978
MIR107	0.8792492375000001	0.91160425	0.6563454	0.9250899	0.900294375	0.9179606	0.008232372918585537	0.017666225000000035
BC068088	0.9121107374999999	0.9115552499999999	0.89399	0.9336433	0.9039678	0.919619375	1.69741553294107e-4	0.01565157500000003
AF075059	0.9056310625	0.9114194499999999	0.8757571	0.9202181	0.900255475	0.916524675	2.4984662460839367e-4	0.016269199999999984
SCARNA18	0.9081056625	0.91115485	0.8425868	0.9377265	0.9082955	0.919600025	8.408118797626792e-4	0.01130452500000001
AB062083	0.9000402875	0.91075295	0.7738311	0.9481822	0.90216355	0.929034425	0.0029242925565783925	0.02687087499999996
RBM44	0.9105900916666667	0.9106227	0.8624829666666667	0.9425871833333334	0.9065198791666668	0.91921785	5.477381348979361e-4	0.012697970833333239
BC040637	0.91256285	0.91051505	0.8946686	0.9335401	0.902133675	0.923047025	1.9710620404857167e-4	0.020913350000000053
AF188711	0.9163140375000001	0.9099142	0.8913931	0.9459923	0.8960888250000001	0.9410898	5.448788739026781e-4	0.04500097499999989
HM358976	0.8732443457367302	0.909760741749862	0.650906145590766	0.932661408121531	0.8847758656672162	0.9218883754331617	0.009088088239843714	0.03711250976594549
SCARNA9L	0.88482145	0.9089421	0.733593	0.9223787	0.8893817749999999	0.9134216	0.0038972131029914262	0.024039825000000015
SPATA22	0.8948488964285715	0.9084610714285715	0.8408799857142857	0.9132041714285715	0.8927599392857143	0.9116590285714286	7.913628410237777e-4	0.018899089285714266
DCLK3	0.8988914125	0.9083288	0.8536699	0.9286594	0.8786632999999999	0.9208993	7.664306353126795e-4	0.04223600000000005
LOC347411	0.8986017432222996	0.9082277815681521	0.843286254227173	0.941138872748402	0.8658870876216402	0.9343211073383397	0.0015955982475643568	0.06843401971669949
IFIT1B	0.90752675	0.9077941	0.88308	0.9263594	0.8978190749999999	0.919665275	2.0644527503428612e-4	0.021846200000000038
C3orf77	0.90369048875	0.907252835	0.88862264	0.91555567	0.8957296475	0.9095828699999999	8.945493647129831e-5	0.013853222499999984
TMEM191A	0.9082729125	0.9071198	0.8846466	0.9375427	0.89664415	0.91641385	2.8156273986124975e-4	0.0197697
SPHAR	0.9005615874999999	0.90700465	0.88100935	0.9171929	0.885724375	0.9110212625	2.193994201126784e-4	0.02529688750000003
SNORA12	0.8818252875	0.90699105	0.7392076	0.9256055	0.87646055	0.916616125	0.003880445188241251	0.040155575
MEPE	0.8936131125	0.9067242	0.8409289	0.9165871	0.8760323250000001	0.91468215	7.842108885955357e-4	0.038649824999999915
DCAF4L2	0.9040727972222222	0.9064943666666667	0.8603291777777778	0.9303045444444444	0.894493275	0.9225946777777778	5.35234862091701e-4	0.02810140277777784
HSP90AB4P	0.9022273000000001	0.905964	0.8475253	0.9340524	0.899407975	0.9147691	6.465456128542854e-4	0.015361124999999975
LOC219731	0.910294925	0.90586645	0.8926749	0.9293641	0.900130375	0.9237535	2.1082347489642853e-4	0.023623124999999967
CDX1	0.8432010875	0.9057682785714286	0.41731632857142853	0.9424365571428571	0.8756134035714286	0.9275490107142856	0.030879869232223238	0.051935607142857054
MIR629	0.9102566	0.905742925	0.8977606	0.93370105	0.9013090874999998	0.9186605124999998	1.6111421712000006e-4	0.017351424999999976
KRT12	0.9048389375	0.9054629999999999	0.8749356	0.9362841	0.8970436249999999	0.910535975	3.2136053389410647e-4	0.013492350000000153
CMTM1	0.906653475	0.9054295772727272	0.8935858090909091	0.9187488545454545	0.9010007613636364	0.9149475886363637	8.084151043989961e-5	0.013946827272727336
MIR30E	0.9054330507676107	0.905395915494018	0.8592753184134755	0.937094372961579	0.8845662887006185	0.9343073677105986	8.437209109584593e-4	0.04974107900998015
HDGFL1	0.89954903906250006	0.90481893125	0.858244625	0.9125670375	0.89917366875	0.910168465625	3.208307047409126e-4	0.010994796874999935
IMPG2	0.9114067	0.9046160000000001	0.8839738	0.9415471	0.89768735	0.932060825	5.204436420371418e-4	0.03437347499999999
MIR125A	0.8929222625000001	0.9045693	0.8148932	0.9220171	0.88824355	0.9122171000000001	0.0011622104365769652	0.02397355000000012
MIR3605	0.8836464743435797	0.9043095135377675	0.747338366240805	0.923932323645791	0.8823105295080368	0.9197863204896883	0.003496704022255212	0.03747579098165155
LRRC72	0.8823110708333334	0.9041630166666667	0.7218524000000001	0.9205908666666667	0.8974628333333332	0.91014835	0.004311221046568389	0.01268551666666684
LOC643529	0.897062159375	0.9032968875	0.856507975	0.929747825	0.8695828000000001	0.92428395	9.79308878546237e-4	0.054701149999999865
