Category	Accession	Patient_ID	Gene	Value
Normal	GSM4201284	9992576115_R01C01	NPTX2	0.08610407
Normal	GSM4201285	9992576115_R05C01	NPTX2	0.09913768
Normal	GSM4201286	9992576115_R03C02	NPTX2	0.09145509
Normal	GSM4201287	9992576144_R01C01	NPTX2	0.1191391
Normal	GSM4201288	9992576144_R05C01	NPTX2	0.1028646
Normal	GSM4201289	9992576144_R03C02	NPTX2	0.6112039
Luminal A	GSM4201290	9992576148_R01C01	NPTX2	0.3038902
Luminal A	GSM4201291	9992576148_R05C01	NPTX2	0.4590463
Luminal A	GSM4201292	9992576148_R03C02	NPTX2	0.6661415
Luminal A	GSM4201293	9992576158_R01C01	NPTX2	0.6203791
Luminal A	GSM4201294	9992576158_R05C01	NPTX2	0.8306542
Luminal A	GSM4201295	9992576158_R02C02	NPTX2	0.730956
Luminal A	GSM4201296	9992576115_R02C01	NPTX2	0.03929895
Luminal A	GSM4201297	9992576115_R06C01	NPTX2	0.7271592
Luminal B	GSM4201298	9992576115_R04C02	NPTX2	0.759742
Luminal B	GSM4201299	9992576144_R02C01	NPTX2	0.7402518
Luminal B	GSM4201300	9992576144_R06C01	NPTX2	0.4326948
Luminal B	GSM4201301	9992576144_R04C02	NPTX2	0.5615501
Luminal B	GSM4201302	9992576148_R02C01	NPTX2	0.841817
Luminal B	GSM4201303	9992576148_R06C01	NPTX2	0.8710558
Luminal B	GSM4201304	9992576148_R04C02	NPTX2	0.7553622
Luminal B	GSM4201305	9992576158_R02C01	NPTX2	0.8324964
Luminal-HER2	GSM4201306	9992576158_R06C01	NPTX2	0.7436692
Luminal-HER2	GSM4201307	9992576158_R03C02	NPTX2	0.4982319
Luminal-HER2	GSM4201308	9992576115_R03C01	NPTX2	0.6544785
Luminal-HER2	GSM4201309	9992576115_R01C02	NPTX2	0.8037179
Luminal-HER2	GSM4201310	9992576115_R05C02	NPTX2	0.8811601
Luminal-HER2	GSM4201311	9992576144_R03C01	NPTX2	0.6255165
Luminal-HER2	GSM4201312	9992576144_R01C02	NPTX2	0.6595063
Luminal-HER2	GSM4201313	9992576144_R05C02	NPTX2	0.6352402
HER2	GSM4201314	9992576148_R03C01	NPTX2	0.5912788
HER2	GSM4201315	9992576148_R01C02	NPTX2	0.5069353
HER2	GSM4201316	9992576148_R05C02	NPTX2	0.469025
HER2	GSM4201317	9992576158_R03C01	NPTX2	0.8276593
HER2	GSM4201318	9992576158_R01C02	NPTX2	0.06285035
HER2	GSM4201319	9992576158_R04C02	NPTX2	0.1447889
HER2	GSM4201320	9992576115_R04C01	NPTX2	0.6851383
HER2	GSM4201321	9992576115_R02C02	NPTX2	0.5493315
TN	GSM4201322	9992576115_R06C02	NPTX2	0.6041173
TN	GSM4201323	9992576144_R04C01	NPTX2	0.6264968
TN	GSM4201324	9992576144_R02C02	NPTX2	0.8044044
TN	GSM4201325	9992576144_R06C02	NPTX2	0.1104496
TN	GSM4201326	9992576148_R04C01	NPTX2	0.1635278
TN	GSM4201327	9992576148_R02C02	NPTX2	0.821491
TN	GSM4201328	9992576148_R06C02	NPTX2	0.7053015
TN	GSM4201329	9992576158_R04C01	NPTX2	0.3982877
Luminal A	GSM4201330	9992576158_R05C02	NPTX2	0.1052465
