Category	Accession	Patient_ID	Gene	Value
Normal	GSM4201284	9992576115_R01C01	AX747088	0.2111138
Normal	GSM4201284	9992576115_R01C01	C1orf114	0.0837957937629253
Normal	GSM4201284	9992576115_R01C01	NKAPL	0.18253403125
Normal	GSM4201284	9992576115_R01C01	NPTX2	0.08610407
Normal	GSM4201284	9992576115_R01C01	OR6Y1	0.7512992
Normal	GSM4201285	9992576115_R05C01	AX747088	0.1915096
Normal	GSM4201285	9992576115_R05C01	C1orf114	0.0965136389356423
Normal	GSM4201285	9992576115_R05C01	NKAPL	0.17057772625
Normal	GSM4201285	9992576115_R05C01	NPTX2	0.09913768
Normal	GSM4201285	9992576115_R05C01	OR6Y1	0.7645709
Normal	GSM4201286	9992576115_R03C02	AX747088	0.2142638
Normal	GSM4201286	9992576115_R03C02	C1orf114	0.08391904641918016
Normal	GSM4201286	9992576115_R03C02	NKAPL	0.17131218374999999
Normal	GSM4201286	9992576115_R03C02	NPTX2	0.09145509
Normal	GSM4201286	9992576115_R03C02	OR6Y1	0.7604953
Normal	GSM4201287	9992576144_R01C01	AX747088	0.1872199
Normal	GSM4201287	9992576144_R01C01	C1orf114	0.13962561708507149
Normal	GSM4201287	9992576144_R01C01	NKAPL	0.2424127925
Normal	GSM4201287	9992576144_R01C01	NPTX2	0.1191391
Normal	GSM4201287	9992576144_R01C01	OR6Y1	0.6566725
Normal	GSM4201288	9992576144_R05C01	AX747088	0.2621432
Normal	GSM4201288	9992576144_R05C01	C1orf114	0.08211984285817953
Normal	GSM4201288	9992576144_R05C01	NKAPL	0.21015948875
Normal	GSM4201288	9992576144_R05C01	NPTX2	0.1028646
Normal	GSM4201288	9992576144_R05C01	OR6Y1	0.7340993
Normal	GSM4201289	9992576144_R03C02	AX747088	0.5301818
Normal	GSM4201289	9992576144_R03C02	C1orf114	0.3859057558895338
Normal	GSM4201289	9992576144_R03C02	NKAPL	0.5225336375
Normal	GSM4201289	9992576144_R03C02	NPTX2	0.6112039
Normal	GSM4201289	9992576144_R03C02	OR6Y1	0.3461037
Luminal A	GSM4201290	9992576148_R01C01	AX747088	0.3968384
