Patient_ID	Gene	Value	Category
GSM1858429_5723654034_R05C01	ABCA8	0.537139252483835	General
GSM1858429_5723654034_R05C01	CUX2	0.34593308113868676	General
GSM1858429_5723654034_R05C01	CYP1B1-AS1	0.5668798583757959	General
GSM1858429_5723654034_R05C01	FGD2	0.4161727532153035	General
GSM1858429_5723654034_R05C01	FGF13	0.4721735184234649	General
GSM1858429_5723654034_R05C01	HORMAD2	0.5671862846332005	General
GSM1858429_5723654034_R05C01	LRRC25	0.36459593493512454	General
GSM1858429_5723654034_R05C01	MARK2P9	0.32099398325221795	General
GSM1858429_5723654034_R05C01	MCHR2	0.4900740330384368	General
GSM1858429_5723654034_R05C01	MTMR11	0.48167846635240713	General
GSM1858429_5723654034_R05C01	PAX9	0.5199763317345085	General
GSM1858429_5723654034_R05C01	PTPN22	0.37312322251235563	General
GSM1858429_5723654034_R05C01	RAP1GAP2	0.418914023398765	General
GSM1858429_5723654034_R05C01	SPAG6	0.4348004916047051	General
GSM1858430_5723654034_R02C02	ABCA8	0.674042553191489	General
GSM1858430_5723654034_R02C02	CUX2	0.3301309843936078	General
GSM1858430_5723654034_R02C02	CYP1B1-AS1	0.5671025508636385	General
GSM1858430_5723654034_R02C02	FGD2	0.4440803139359395	General
GSM1858430_5723654034_R02C02	FGF13	0.49071905933767146	General
GSM1858430_5723654034_R02C02	HORMAD2	0.6232611704998116	General
GSM1858430_5723654034_R02C02	LRRC25	0.341278199421411	General
GSM1858430_5723654034_R02C02	MARK2P9	0.3836194705283405	General
GSM1858430_5723654034_R02C02	MCHR2	0.411924567579334	General
GSM1858430_5723654034_R02C02	MTMR11	0.5549472153194557	General
GSM1858430_5723654034_R02C02	PAX9	0.40686126384188875	General
GSM1858430_5723654034_R02C02	PTPN22	0.290619340280268	General
GSM1858430_5723654034_R02C02	RAP1GAP2	0.349901966826617	General
GSM1858430_5723654034_R02C02	SPAG6	0.4679949468245989	General
GSM1858431_5723654034_R06C02	ABCA8	0.289028588534651	General
GSM1858431_5723654034_R06C02	CUX2	0.3790822006292675	General
GSM1858431_5723654034_R06C02	CYP1B1-AS1	0.5798537780060535	General
GSM1858431_5723654034_R06C02	FGD2	0.5757438318392515	General
GSM1858431_5723654034_R06C02	FGF13	0.383097876381423	General
GSM1858431_5723654034_R06C02	HORMAD2	0.6272014058999209	General
GSM1858431_5723654034_R06C02	LRRC25	0.5752687230217015	General
GSM1858431_5723654034_R06C02	MARK2P9	0.5525919145897145	General
GSM1858431_5723654034_R06C02	MCHR2	0.549930904691803	General
GSM1858431_5723654034_R06C02	MTMR11	0.36126681996925086	General
GSM1858431_5723654034_R06C02	PAX9	0.61976996973298	General
GSM1858431_5723654034_R06C02	PTPN22	0.48110795172240034	General
GSM1858431_5723654034_R06C02	RAP1GAP2	0.5925280888898008	General
GSM1858431_5723654034_R06C02	SPAG6	0.5634627992468992	General
GSM1858432_5723646043_R03C02	ABCA8	0.394523326572008	General
GSM1858432_5723646043_R03C02	CUX2	0.5180835043404153	General
GSM1858432_5723646043_R03C02	CYP1B1-AS1	0.7916424132690181	General
GSM1858432_5723646043_R03C02	FGD2	0.6175878550073115	General
GSM1858432_5723646043_R03C02	FGF13	0.42797756000161036	General
GSM1858432_5723646043_R03C02	HORMAD2	0.7373615686036861	General
GSM1858432_5723646043_R03C02	LRRC25	0.715092114058692	General
GSM1858432_5723646043_R03C02	MARK2P9	0.695932673385161	General
GSM1858432_5723646043_R03C02	MCHR2	0.7086048471595909	General
GSM1858432_5723646043_R03C02	MTMR11	0.41633837751174313	General
GSM1858432_5723646043_R03C02	PAX9	0.6871024695325012	General
GSM1858432_5723646043_R03C02	PTPN22	0.7683932793338236	General
GSM1858432_5723646043_R03C02	RAP1GAP2	0.7675818120918739	General
GSM1858432_5723646043_R03C02	SPAG6	0.4090231200689006	General
GSM1858433_5723654034_R06C01	ABCA8	0.669232056215493	General
GSM1858433_5723654034_R06C01	CUX2	0.3325433847632965	General
GSM1858433_5723654034_R06C01	CYP1B1-AS1	0.7391067951842349	General
GSM1858433_5723654034_R06C01	FGD2	0.6446752132094495	General
GSM1858433_5723654034_R06C01	FGF13	0.48760164091220215	General
GSM1858433_5723654034_R06C01	HORMAD2	0.7147186385577591	General
GSM1858433_5723654034_R06C01	LRRC25	0.4605103085239005	General
GSM1858433_5723654034_R06C01	MARK2P9	0.507005718866958	General
GSM1858433_5723654034_R06C01	MCHR2	0.4863052275254205	General
GSM1858433_5723654034_R06C01	MTMR11	0.21570712600122072	General
GSM1858433_5723654034_R06C01	PAX9	0.6061509750079057	General
GSM1858433_5723654034_R06C01	PTPN22	0.28256391916216567	General
GSM1858433_5723654034_R06C01	RAP1GAP2	0.5164959250921164	General
GSM1858433_5723654034_R06C01	SPAG6	0.4080345341969935	General
GSM1858434_5723654034_R03C02	ABCA8	0.62854609929078	General
GSM1858434_5723654034_R03C02	CUX2	0.243339027390484	General
GSM1858434_5723654034_R03C02	CYP1B1-AS1	0.449270353924198	General
GSM1858434_5723654034_R03C02	FGD2	0.46873624546561654	General
GSM1858434_5723654034_R03C02	FGF13	0.4452425353389732	General
GSM1858434_5723654034_R03C02	HORMAD2	0.5627348303659739	General
GSM1858434_5723654034_R03C02	LRRC25	0.23893786004422599	General
GSM1858434_5723654034_R03C02	MARK2P9	0.2018606940815455	General
GSM1858434_5723654034_R03C02	MCHR2	0.3842927864118437	General
GSM1858434_5723654034_R03C02	MTMR11	0.5291400370694157	General
GSM1858434_5723654034_R03C02	PAX9	0.3873032091048825	General
GSM1858434_5723654034_R03C02	PTPN22	0.14268183496072268	General
GSM1858434_5723654034_R03C02	RAP1GAP2	0.3302486070661346	General
GSM1858434_5723654034_R03C02	SPAG6	0.5281812269824215	General
GSM1858435_5723646043_R03C01	ABCA8	0.54755877034358	General
GSM1858435_5723646043_R03C01	CUX2	0.417858145893385	General
GSM1858435_5723646043_R03C01	CYP1B1-AS1	0.671868744445677	General
GSM1858435_5723646043_R03C01	FGD2	0.592468068637079	General
GSM1858435_5723646043_R03C01	FGF13	0.4744287249692769	General
GSM1858435_5723646043_R03C01	HORMAD2	0.6325841428734491	General
GSM1858435_5723646043_R03C01	LRRC25	0.45867614216513847	General
GSM1858435_5723646043_R03C01	MARK2P9	0.36767398557283903	General
GSM1858435_5723646043_R03C01	MCHR2	0.363717542115661	General
GSM1858435_5723646043_R03C01	MTMR11	0.4669297804036807	General
GSM1858435_5723646043_R03C01	PAX9	0.42561162183421	General
GSM1858435_5723646043_R03C01	PTPN22	0.5493424863035253	General
GSM1858435_5723646043_R03C01	RAP1GAP2	0.48749996174098187	General
GSM1858435_5723646043_R03C01	SPAG6	0.4542360987193246	General
GSM1858436_5723646043_R01C02	ABCA8	0.555887230514096	General
GSM1858436_5723646043_R01C02	CUX2	0.45178565377241797	General
GSM1858436_5723646043_R01C02	CYP1B1-AS1	0.632051068160845	General
GSM1858436_5723646043_R01C02	FGD2	0.5279410454547265	General
GSM1858436_5723646043_R01C02	FGF13	0.502992236132574	General
GSM1858436_5723646043_R01C02	HORMAD2	0.49388852887473955	General
GSM1858436_5723646043_R01C02	LRRC25	0.454644097323868	General
GSM1858436_5723646043_R01C02	MARK2P9	0.133958982987103	General
GSM1858436_5723646043_R01C02	MCHR2	0.529114017266505	General
GSM1858436_5723646043_R01C02	MTMR11	0.4347764106965357	General
GSM1858436_5723646043_R01C02	PAX9	0.44112726949501174	General
GSM1858436_5723646043_R01C02	PTPN22	0.35707814155388734	General
GSM1858436_5723646043_R01C02	RAP1GAP2	0.5427992348522047	General
GSM1858436_5723646043_R01C02	SPAG6	0.4699120799193126	General
GSM1858437_5723654035_R01C01	ABCA8	0.44611819235226	General
GSM1858437_5723654035_R01C01	CUX2	0.44806960803858975	General
GSM1858437_5723654035_R01C01	CYP1B1-AS1	0.633348020066943	General
GSM1858437_5723654035_R01C01	FGD2	0.5286191802447535	General
GSM1858437_5723654035_R01C01	FGF13	0.5072955431506945	General
GSM1858437_5723654035_R01C01	HORMAD2	0.6297741277553373	General
GSM1858437_5723654035_R01C01	LRRC25	0.519864912279162	General
GSM1858437_5723654035_R01C01	MARK2P9	0.5391756003048175	General
GSM1858437_5723654035_R01C01	MCHR2	0.59695560589815	General
GSM1858437_5723654035_R01C01	MTMR11	0.3926209940798504	General
GSM1858437_5723654035_R01C01	PAX9	0.5624049306773042	General
GSM1858437_5723654035_R01C01	PTPN22	0.6244936378352534	General
GSM1858437_5723654035_R01C01	RAP1GAP2	0.5039920835977623	General
GSM1858437_5723654035_R01C01	SPAG6	0.5664740079037381	General
GSM1858438_5723654035_R01C02	ABCA8	0.31326352530541	General
GSM1858438_5723654035_R01C02	CUX2	0.5252603097848753	General
GSM1858438_5723654035_R01C02	CYP1B1-AS1	0.6787909382472239	General
GSM1858438_5723654035_R01C02	FGD2	0.621659840917923	General
GSM1858438_5723654035_R01C02	FGF13	0.21864587517184136	General
GSM1858438_5723654035_R01C02	HORMAD2	0.7070630064534555	General
GSM1858438_5723654035_R01C02	LRRC25	0.3257094241054735	General
