Gene	NORM_diff	TN_diff	LuminalA_diff	LuminalB_diff	Luminal_HER2_diff	HER2_diff	InVitro_diff
NPTX2	0.42713226	NA	NA	NA	NA	NA	-0.46015510000000004
TRNA_Und	0.39029765	NA	NA	NA	NA	NA	-0.46845400000000004
CHAD	0.38217018312499995	0.30664513812499994	0.36572809124999994	0.33311371624999997	NA	NA	-0.4163369750000001
TM6SF2	0.3786434375	NA	NA	NA	NA	NA	-0.486778125
C3orf18	0.3721668258333333	0.340747935	0.33608433	NA	0.3380488425	NA	-0.38281485000000004
SLC17A9	0.36886816888888896	NA	NA	0.3106021777777779	NA	NA	-0.40295202222222215
CPNE5	0.368576435	0.35461411	NA	NA	NA	NA	-0.5205840500000001
VWC2	0.3662427014285714	0.3224152121428572	NA	NA	NA	NA	-0.5311166285714286
DUOXA1	0.364823295625	0.34150333374999997	NA	NA	NA	NA	-0.52629351875
PLTP	0.363928005	0.31139403071428573	NA	NA	NA	NA	-0.4915468235714286
BX537900	0.360830475	NA	NA	NA	NA	NA	-0.47549542499999997
SLC18A2	0.35886545000000003	0.3166812	NA	NA	NA	NA	-0.45268600000000003
CMKLR1	0.35057606357142856	0.36722113357142855	0.3210447928571428	0.33873641642857144	0.35707053714285714	NA	-0.3860760714285715
PTPRN	0.34959056	NA	NA	NA	NA	NA	-0.47011424
COL7A1	0.3426801994444445	0.3147748366666667	0.3130596666666667	0.3051919866666667	NA	NA	-0.47893177777777773
OTX2OS1	0.3397044166666667	NA	NA	NA	NA	NA	-0.3902156166666667
AK124439	0.33217625500000003	0.31466278999999997	NA	NA	NA	NA	-0.5766398
PCDHGB6	0.32968809499999996	NA	NA	NA	NA	NA	-0.5071479875
ZNF177	0.3280702864999999	NA	NA	NA	NA	NA	-0.4317316550000001
RARRES2	0.3263095	NA	NA	NA	NA	NA	-0.3494834333333333
ADAMTS12	0.32426315	NA	NA	NA	NA	NA	-0.47317554999999994
FBXO39	0.32324043333333335	0.30351176750000003	NA	NA	NA	NA	-0.5176761208333333
DES	0.32215600000000005	NA	NA	NA	NA	NA	-0.39725586666666657
SV2A	0.32147549105063444	NA	NA	NA	NA	NA	-0.5219762686834089
ZFP106	0.31996094999999997	NA	NA	NA	NA	NA	-0.306524275
STK33	0.31941729607142855	0.3325605014285714	NA	NA	NA	NA	-0.48922777857142863
SCT	0.318107325	NA	NA	NA	NA	NA	-0.420838225
DRD5	0.316458491875	NA	NA	NA	NA	NA	-0.435361625
EVC2	0.31614688444444444	NA	NA	NA	NA	NA	-0.46167246666666667
TMEM132C	0.3144973233333333	NA	NA	NA	NA	NA	-0.5691572500000001
NPY	0.31328453375	NA	NA	NA	NA	NA	-0.555426025
DQ572100	0.3132408	NA	NA	NA	NA	NA	NA
CPXM1	0.31252208400000003	0.3038851765	NA	NA	NA	NA	-0.512438455
SOX17	0.3119759216666667	NA	NA	NA	NA	NA	-0.4837948666666666
SLC22A3	0.31151847499999996	NA	NA	NA	NA	NA	-0.61133085
C1orf190	0.31115765637764925	NA	NA	NA	NA	NA	-0.5216290692701099
ADCY4	0.30958580375	NA	NA	NA	NA	NA	-0.4459240875
EPSTI1	0.3093867616666667	NA	NA	NA	NA	NA	-0.4660093083333333
ZNF660	0.3082128344444445	NA	NA	NA	NA	NA	-0.49580231111111106
FAM3B	0.30757630136363634	NA	NA	NA	NA	NA	-0.35983838181818184
AK022793	0.30668555000000003	NA	NA	NA	NA	NA	-0.45830384999999996
FMO2	0.306221275	0.35056050000000005	NA	NA	NA	NA	NA
SSTR4	0.3047362649999999	NA	NA	NA	NA	NA	-0.4076771083333335
WDR69	0.30281868704228776	NA	NA	NA	NA	NA	-0.48897789999761454
CLEC2L	0.302143175	NA	NA	NA	NA	NA	-0.46796565
SCGB3A1	0.30154361625	NA	NA	NA	NA	NA	-0.5034479000000001
CA3	0.30117204285714283	NA	NA	NA	NA	NA	-0.44711507142857143
FOXE1	0.30017748833333335	NA	NA	NA	NA	NA	-0.45348951666666665
BSPH1	NA	0.4558302	NA	NA	0.37798790000000004	NA	NA
PRODH2	NA	0.3796836	NA	NA	NA	NA	NA
BCAR4	NA	0.37857235	NA	NA	NA	NA	NA
AK123263	NA	0.37593505	NA	NA	NA	NA	NA
OR2G3	NA	0.36301335	NA	NA	NA	NA	NA
BTNL2	NA	0.3493320333333333	NA	NA	NA	NA	NA
OR2L8	NA	0.34825735	NA	NA	NA	NA	NA
LINC00028	NA	0.34774611400000005	NA	NA	NA	NA	-0.44322160999999993
SPRR1A	NA	0.34323114999999993	NA	0.30985489999999993	NA	NA	NA
TPSD1	NA	0.33894425	NA	NA	NA	NA	NA
OR2W3	NA	0.3354540500000001	NA	NA	NA	NA	NA
LINC00310	NA	0.3352261000000001	NA	NA	NA	NA	NA
DQ595173	NA	0.33395215	NA	NA	NA	NA	NA
OR2G6	NA	0.32389580000000007	NA	NA	NA	NA	NA
Mir_654	NA	0.31855274999999994	NA	NA	NA	NA	NA
MYH8	NA	0.31816075	NA	NA	NA	NA	NA
AK056267	NA	0.31640330000000005	NA	NA	NA	NA	NA
FSHB	NA	0.31510045	NA	NA	NA	NA	NA
PKD1L1	NA	0.31487715000000005	NA	NA	NA	NA	NA
GDAP1L1	NA	0.3142709461111111	NA	NA	NA	NA	-0.4045880944444445
FKSG83	NA	0.31418587500000006	NA	NA	NA	NA	NA
C3orf72	NA	0.3121943675	NA	NA	NA	NA	-0.5543394166666666
ANKS4B	NA	0.31132356250000004	NA	NA	NA	NA	NA
OR2G2	NA	0.30816425000000003	NA	NA	NA	NA	NA
NLRP12	NA	0.30751665	NA	NA	NA	NA	NA
FAM26E	NA	0.3066098833333334	NA	NA	NA	NA	NA
KRTAP10-3	NA	0.30635865000000007	NA	NA	NA	NA	NA
RGL3	NA	0.3053101964285714	NA	NA	NA	NA	-0.46809731428571433
AK090681	NA	0.30519985	NA	NA	NA	NA	-0.49581025000000006
LOC645434	NA	0.30242840000000004	NA	NA	NA	NA	-0.39387019999999995
LOC100132724	NA	-0.33959340000000005	-0.33103605	NA	NA	NA	NA
BC037382	NA	NA	0.3440298500000001	0.371753425	NA	NA	NA
SYT16	NA	NA	0.32581655000000004	0.3023177	NA	NA	NA
HMGA1P7	NA	NA	0.3157517000000001	0.3817981000000001	NA	NA	NA
TMEM240	NA	NA	0.30426895633175105	NA	NA	NA	-0.5703642114749292
CD1A	NA	NA	0.3003619250000001	0.39678845000000007	NA	NA	NA
SHISA3	NA	NA	-0.300214470625	NA	-0.40525136437500003	NA	-0.892314870625
ZNF826P	NA	NA	-0.3036538	NA	NA	NA	-0.5494302
BX161496	NA	NA	-0.318066325	NA	-0.3832945	NA	-0.782775625
LOC727677	NA	NA	NA	0.4817134500000001	NA	NA	NA
SPP2	NA	NA	NA	0.44797095	NA	NA	NA
HMGN2P46	NA	NA	NA	0.4021810500000001	0.3134127	NA	NA
DQ582871	NA	NA	NA	0.39500785000000005	NA	NA	NA
TMEM207	NA	NA	NA	0.38882755	NA	NA	NA
DQ582013	NA	NA	NA	0.37961755	NA	NA	NA
TCHHL1	NA	NA	NA	0.3741769250000001	NA	NA	NA
TRPM8	NA	NA	NA	0.36597109999999994	NA	NA	NA
L12234	NA	NA	NA	0.3644354999999999	NA	NA	NA
FLG2	NA	NA	NA	0.36414559999999996	NA	NA	NA
LINC00238	NA	NA	NA	0.3607596500000001	NA	NA	NA
HRNR	NA	NA	NA	0.35358559999999994	NA	NA	NA
MIR520F	NA	NA	NA	0.351923	NA	NA	NA
DQ579975	NA	NA	NA	0.34977535	NA	NA	NA
UGT1A3	NA	NA	NA	0.3496564	NA	NA	NA
DQ593531	NA	NA	NA	0.3455789999999999	NA	NA	NA
FCRL2	NA	NA	NA	0.34244555	NA	NA	-0.32800185000000004
CD1B	NA	NA	NA	0.34071877500000003	NA	NA	NA
SERPINB12	NA	NA	NA	0.33929607500000003	NA	NA	NA
MIR563	NA	NA	NA	0.334331925	NA	NA	NA
DQ598152	NA	NA	NA	0.3336206500000001	NA	NA	NA
UBD	NA	NA	NA	0.33070217499999993	NA	NA	NA
OR4X2	NA	NA	NA	0.32888705000000007	NA	NA	NA
KRTAP9-4	NA	NA	NA	0.3259390999999999	NA	NA	NA
DQ572208	NA	NA	NA	0.32451455000000007	NA	NA	NA
BC041393	NA	NA	NA	0.32306475	NA	NA	NA
OR1J4	NA	NA	NA	0.3220147	NA	NA	NA
TMCO5A	NA	NA	NA	0.32174515000000004	NA	NA	NA
KRT28	NA	NA	NA	0.32062710000000005	NA	NA	NA
CHRM5	NA	NA	NA	0.3196303166666667	NA	NA	NA
SNORD113-5	NA	NA	NA	0.3184796	NA	NA	NA
OR7G1	NA	NA	NA	0.31640650000000003	NA	NA	NA
BC101420	NA	NA	NA	0.3149778	NA	NA	NA
CRISP1	NA	NA	NA	0.31395205	NA	NA	NA
FPR1	NA	NA	NA	0.3124977499999999	NA	NA	NA
CYP2C9	NA	NA	NA	0.3122273	NA	NA	NA
TAS2R13	NA	NA	NA	0.3120865500000001	NA	NA	NA
MARCO	NA	NA	NA	0.31152178333333336	NA	NA	NA
THSD4	NA	NA	NA	0.3114509	NA	NA	NA
COL6A6	NA	NA	NA	0.3088341	NA	NA	NA
BC033554	NA	NA	NA	0.30876919999999997	NA	NA	NA
FCRL5	NA	NA	NA	0.3079124	NA	NA	NA
CD5L	NA	NA	NA	0.30747956666666665	NA	NA	-0.3116799
OR10V1	NA	NA	NA	0.30668	NA	NA	NA
ACCN4	NA	NA	NA	0.30630560318181826	NA	NA	-0.41834122727272716
ANKUB1	NA	NA	NA	0.30494835	NA	NA	NA
GBA3	NA	NA	NA	0.3045916500000001	NA	NA	NA
BC030624	NA	NA	NA	0.304402225	NA	NA	NA
AF072097	NA	NA	NA	0.30361384999999996	NA	NA	NA
TMEM132B	NA	NA	NA	0.30255434999999997	NA	NA	NA
C1orf68	NA	NA	NA	0.3008968000000001	NA	NA	NA
KIAA1201	NA	NA	NA	0.30081939999999996	NA	NA	NA
SALL3	NA	NA	NA	-0.30026826875	NA	NA	-0.565970725
TTYH1	NA	NA	NA	-0.3032838258333333	-0.3189736825	NA	-0.7704312908333333
DSC3	NA	NA	NA	-0.30607867999999994	NA	NA	-0.6675423850000001
HIST1H4F	NA	NA	NA	-0.30628972142857136	NA	NA	-0.6213788285714286
ST6GAL2	NA	NA	NA	-0.30631734625000007	NA	NA	-0.7230260216666666
PCDHAC1	NA	NA	NA	-0.30679967055555557	NA	NA	-0.8125875572222222
ABCC9	NA	NA	NA	-0.30745339999999993	NA	NA	-0.6013986250000001
ZDBF2	NA	NA	NA	-0.30968371666666666	NA	NA	-0.7791435
MIR589	NA	NA	NA	-0.31014366875	NA	NA	-0.41392741874999994
DNM3	NA	NA	NA	-0.3106097971783801	NA	NA	-0.5787156857013229
COL6A2	NA	NA	NA	-0.31126680500000004	NA	NA	-0.880239605
FAM19A4	NA	NA	NA	-0.314342426875	NA	NA	-0.8470996268750001
C2CD4D	NA	NA	NA	-0.314455869851752	NA	NA	-0.582835489435097
SNTG2	NA	NA	NA	-0.31655154499999993	NA	NA	-0.879255445
ID4	NA	NA	NA	-0.31734574	NA	NA	-0.76154087
PI15	NA	NA	NA	-0.3194576	NA	NA	-0.6543237000000001
LAMP3	NA	NA	NA	-0.31956710916666675	NA	NA	-0.7745114091666667
ZNF471	NA	NA	NA	-0.32011068642857143	-0.3618261507142857	NA	-0.7863717864285714
BC148242	NA	NA	NA	-0.3216542000000001	NA	NA	-0.38470625
AX747088	NA	NA	NA	-0.32466425	NA	NA	-0.41850584999999996
FAM150B	NA	NA	NA	-0.33042351999999997	NA	NA	-0.91703527
IDH3G	NA	NA	NA	-0.33153387080162405	NA	NA	-0.6979447031273471
SP140L	NA	NA	NA	-0.3347006791666667	NA	NA	-0.5910206541666667
TOX	NA	NA	NA	-0.3348683278571429	NA	NA	-0.7178676685714285
AK055459	NA	NA	NA	-0.33592926399999995	NA	NA	-0.698030164
NKX6-2	NA	NA	NA	-0.33721254166666664	NA	NA	-0.7282252833333334
AK123543	NA	NA	NA	-0.33796818687499997	NA	NA	-0.763158436875
BX647608	NA	NA	NA	-0.34027285000000007	NA	NA	-0.56655575
DBC1	NA	NA	NA	-0.34159212499999997	NA	NA	-0.6959238750000001
RELN	NA	NA	NA	-0.3419771062499999	NA	NA	-0.74736100625
BC067347	NA	NA	NA	-0.34483015	NA	NA	-0.6425848999999999
AK056817	NA	NA	NA	-0.346283225	NA	NA	-0.4785534250000001
ARFGAP3	NA	NA	NA	-0.35189585500000004	NA	NA	-0.87648970875
ACTN2	NA	NA	NA	-0.3522734853666107	-0.3086568331426262	NA	-0.6413438273720138
MIR129-2	NA	NA	NA	-0.35273798124999994	NA	NA	-0.6536382000000001
NTSR1	NA	NA	NA	-0.3572261375	NA	NA	-0.8761805624999999
C15orf62	NA	NA	NA	-0.366021375	NA	NA	-0.5385914833333333
MS4A7	NA	NA	NA	-0.369877975	NA	NA	-0.659498275
LOC283481	NA	NA	NA	-0.37169428374999997	NA	NA	-0.9048661337499999
BMP3	NA	NA	NA	-0.37514117214285714	NA	NA	-0.8912646721428571
SNORD17	NA	NA	NA	-0.37711687500000013	NA	NA	-0.5801016500000001
DGKI	NA	NA	NA	-0.37913511749999995	NA	NA	-0.7374711300000001
HIST1H1A	NA	NA	NA	-0.38073330714285714	NA	NA	-0.6216801071428572
MLNR	NA	NA	NA	-0.3830384275	NA	NA	-0.7467898024999999
LOC648987	NA	NA	NA	-0.3835492	NA	NA	-0.5488343499999999
KIAA1239	NA	NA	NA	-0.38427276	NA	NA	-0.6636075100000001
