Gene	NORM_diff	TN_diff	LuminalA_diff	LuminalB_diff	Luminal_HER2_diff	HER2_diff	InVitro_diff
BC040628	0.9633359750000001	0.9594141350000001	0.9617961850000001	0.9603269525000001	0.9663664525000001	0.9695014310000001	NA
SPEN	0.9597129146600621	0.954489310802814	0.9402745256194861	0.9139543752001817	0.9486467913231105	0.9588104713316984	NA
CBWD5	0.95907261	0.95318452	0.95934104	0.9474301	0.9597921650000001	0.959168415	NA
LOC285074	0.95839858	0.954442245	0.94686119	0.94258089	0.95071149	0.9573109399999999	NA
UBE2Q2P2	0.956359625	0.949894345	0.95479487	0.95567957	0.95437639	0.95949222	NA
DJ031144	0.9562293725	0.9531285275	0.95552282	0.9462758824999999	0.9513428875	0.9587409325	NA
EXT1	0.956191434875	0.9542589396250001	0.9542520975000001	0.9461864975000001	0.95521964	0.9594327300000001	NA
RAC3	0.955996195	0.95537963	0.95392453	0.928367735	0.9348128250000001	0.95128521	NA
LINC00476	0.955916035	0.9534341550000001	0.95305234	0.93980023	0.95073936	0.95815602	NA
LOC100287482	0.95590307	0.952455225	0.95271541	0.94778232	0.95554606	0.956311795	NA
KCTD3	0.9555416270332903	0.9532835714523121	0.9571649336538799	0.9401255135317499	0.9571047818812675	0.9616864850392408	NA
NINJ1	0.95495697	0.9527717400000001	0.9571789500000001	0.9475828000000001	0.95781565	0.9568380700000001	NA
HOOK3	0.9543886699999999	0.9509755049999999	0.9515808299999999	0.93050194	0.9490353899999999	0.95484845	NA
STAG3L3	0.954356915	0.9509164766666667	0.9486467233333333	0.9476545216666666	0.948188615	0.94787122	NA
LARP6	0.954058455	0.949699165	0.951978735	0.9469876150000001	0.9470086275	0.95157077775	NA
STAG3L1	0.953796475	0.9544866949999999	0.95491213	0.95062172	0.95592751	0.9550349349999999	NA
C11orf80	0.9527526683333334	0.9471745683333334	0.9482771933333334	0.9429310416666666	0.953399165	0.9525812416666667	NA
RMND5A	0.952242905	0.955127625	0.95527119	0.9452606	0.950948235	0.96006374	NA
C7orf13;RNF32	0.95214604	0.947644535	0.95240803	0.933975045	0.94669891	0.954452655	NA
NOTCH2NL	0.9519309543370437	0.951848271907636	0.9559648301994391	0.9470386469880743	0.9521755674270865	0.9593598708174108	NA
FBXO30	0.951842645	0.9470211550000001	0.94498839	0.93776444	0.949278975	0.94493864	NA
BC017818	0.9517433949999999	0.943497	0.94743974	0.9351341	0.936914775	0.93869296	NA
PTCHD2	0.9516405913469139	0.9495349765850951	0.9518202896991254	0.9441017907335794	0.9459082467342625	0.9514077919516541	NA
FAM207A	0.95080752	0.953619175	0.9519305100000001	0.940838265	0.9435624300000001	0.95099559	NA
IGDCC3	0.95070188	0.9406045799999999	0.94451995	0.9332464749999999	0.93845832	0.9476755849999999	NA
AK130486	0.950637375	0.9559896750000001	0.9530557300000001	0.935754925	0.95354731	0.9543594400000001	NA
ZNF318	0.950464635	0.95089564	0.94620545	0.93766447	0.947981865	0.949852385	NA
TEX22	0.9504385974999999	0.9508758724999999	0.9513436249999999	0.9399355125	0.9480978149999999	0.955444235	NA
DQ588877	0.950143245	0.940779705	0.9351394000000001	0.89969664	0.922369205	0.9371862200000001	NA
PLCB3	0.9499970433333332	0.946976835	0.94700809	0.9400426483333333	0.9468691783333333	0.9529355033333333	NA
LOC145783	0.94987326	0.946531325	0.94583437	0.935880795	0.943836645	0.95072568	NA
AK296947	0.9498566016666667	0.9517472183333333	0.9482489966666667	0.9372940333333334	0.9502363316666667	0.9531136683333333	NA
OMA1	0.9497025612503935	0.94692261846109	0.945517946740423	0.9406652288029214	0.9456960013130824	0.9506651535386264	NA
CTDP1	0.9496072099999999	0.9480252625	0.94650627	0.93338974	0.9378545924999999	0.9552355849999999	NA
PWWP2B	0.9494624733333333	0.9482207183333333	0.9428747466666667	0.9226380866666667	0.9368113783333334	0.945886615	NA
ATP9B	0.949170457375	0.9418560662500001	0.9370017975	0.9224207975000001	0.94081933375	0.9461016612500001	NA
LOC338651	0.9491225366666667	0.9513857066666667	0.9427232766666667	0.923112175	0.9377223483333333	0.94970465	NA
SCAF4	0.94872446	0.9494164975	0.95080809	0.9411718425	0.94615485	0.95200403	NA
CORO2A	0.94866888	0.951718325	0.95209971	0.945844095	0.95249323	0.950922135	NA
UCKL1	0.948666185	0.944396895	0.9465624300000001	0.925092095	0.944391155	0.94824227	NA
LOC100507588	0.9485745250000001	0.9433535200000001	0.94799934	0.943811745	0.94176952	0.945040875	NA
SPCS1	0.94829089	0.944650235	0.9478818	0.9287598149999999	0.942704875	0.948467005	NA
BC037904;ARAP2	0.94824002	0.94633201	0.9464957199999999	0.9326466849999999	0.93962311	0.94668369	NA
GSG2	0.9481042316666667	0.9441865716666668	0.9440654133333334	0.9287646566666667	0.9422667650000001	0.94687683	NA
TOMM22	0.94772537	0.9458451816666668	0.94523599	0.9371105233333333	0.9410967016666667	0.947523675	NA
HGS	0.9476605699999999	0.94532449125	0.944346995	0.93106414875	0.94495869375	0.94742298375	NA
MRPS34	0.94722604	0.9450590849999999	0.9486303899999999	0.9372048399999999	0.946934465	0.95374459	NA
TRIM24	0.9468414166666667	0.9418540316666666	0.9432691466666666	0.9295232883333333	0.9407558183333333	0.9459644983333333	NA
TACC3	0.9468278775000001	0.946814955	0.944824275	0.9264593925000001	0.9365798075	0.9455043775	NA
SRM	0.9465987625514919	0.9398397974038065	0.9386551390810935	0.9298336424221705	0.9365846726197931	0.9406671412224767	NA
SAFB2	0.94613709	0.93525163	0.94199467	0.91177407	0.94135419	0.94118612	NA
PTCD1	0.945782902	0.94861271	0.9442272780000001	0.9384464020000001	0.950070802	0.9453861760000001	NA
LOC401980;TMEM183A	0.9449899647152272	0.9498066072328951	0.9407768309289275	0.9319599912651391	0.9413984386879357	0.9524644608247635	NA
KIAA0247	0.94452539	0.9354761525	0.9242770100000001	0.90438314	0.9367013925000001	0.9336642225	NA
CERCAM	0.9445001525	0.9403892624999999	0.9458713249999999	0.9348692224999999	0.9377641674999999	0.9408366675	NA
ARNTL2	0.944226715	0.94717401	0.946692085	0.9399004125	0.950704965	0.9477758275	NA
SIK2	0.9441141625	0.943978195	0.94141987	0.92460868375	0.938530105	0.94640299875	NA
AIF1L	0.94384404	0.943942585	0.94607074	0.926812635	0.941686535	0.9393086549999999	NA
AK023178	0.9435129649999999	0.94714932	0.9459285199999999	0.93086023	0.9397224949999999	0.94349752	NA
BMP1	0.943483665	0.9393654450000001	0.93739932	0.9346847450000001	0.9436020650000001	0.945115845	NA
ZNF783	0.943389665	0.94211902	0.93930726	0.9374939250000001	0.940200145	0.94551842	NA
PHF2	0.9433748900000001	0.9365555050000001	0.94407727	0.9375805500000001	0.9403341000000001	0.945741845	NA
FAM160B2	0.9431243850000001	0.94129471	0.92936268	0.911482055	0.9257108350000001	0.94013486	NA
FHOD3	0.9429079125000001	0.939141285	0.9395741400000001	0.9321773250000001	0.9380963625000001	0.943205155	NA
FAM49B	0.9427646771428572	0.9391101641428572	0.9404877628571429	0.9320169321428572	0.9412135757142858	0.9420894864285715	NA
DDX31	0.94271387	0.93963498	0.94263226	0.923528655	0.939345285	0.94456873	NA
RRP1B	0.94256416	0.94333301	0.94497796	0.940833495	0.943128705	0.94544403	NA
APCDD1	0.9425318924999999	0.937282235	0.9309970499999999	0.9277559849999999	0.926586285	0.9442491249999999	NA
ELAVL1	0.94249627	0.93951289	0.94565701	0.9168019300000001	0.9394279000000001	0.945752585	NA
C11orf61	0.9423217716666666	0.9394913116666667	0.94469909	0.9274084233333333	0.9373635816666667	0.944882535	NA
TDP2	0.9421935383333333	0.9435289099999999	0.9357345233333333	0.91953473	0.9312210516666667	0.9402492666666666	NA
MKL1	0.9421261575000001	0.9422133825000001	0.9319534300000001	0.9023784237500001	0.932912474375	0.9422034349375	NA
MBOAT1	0.9419464474999999	0.9391546624999999	0.9380550249999999	0.9249410899999999	0.9386236699999999	0.9372361499999999	NA
LRRC46	0.94171521	0.9399613533333333	0.94029213	0.93082234	0.939735065	0.9444726716666667	NA
BACH2	0.9416534200000001	0.94103627	0.9431767950000001	0.9331127666666668	0.937957055	0.9455813958333333	NA
LCOR	0.941459565	0.9383079400000001	0.9402441500000001	0.9297232550000001	0.93795218	0.94461889	NA
RANBP3	0.9413954750000001	0.93811684215	0.9409346160000001	0.926726887	0.9351911745000001	0.94150710275	NA
LOC100128977	0.9412403683333334	0.9368536300000001	0.9378602300000001	0.93270107	0.9347134300000001	0.939833985	NA
CDKN1B	0.941041665	0.939777295	0.9482684499999999	0.9317437449999999	0.94015459	0.941240785	NA
C15orf61	0.941018365	0.941131535	0.9406750300000001	0.9358329700000001	0.9443534	0.94259015	NA
LIN7C	0.9409893	0.93815271	0.94322367	0.93057349	0.933581635	0.94049064	NA
