Gene	NORM_diff	TN_diff	LuminalA_diff	LuminalB_diff	Luminal_HER2_diff	HER2_diff	InVitro_diff
NPTX2	0.5193779599999999	NA	NA	NA	NA	NA	-0.36790940000000005
ZFP106	0.483273675	NA	NA	NA	NA	NA	NA
ZNF826P	0.4534306	NA	NA	NA	NA	0.3036538	NA
BX161496	0.4464947825	0.44045880000000004	NA	NA	NA	0.318066325	-0.4647093
C1orf114	0.43083473240659315	NA	NA	NA	NA	NA	-0.3988415755902641
FAP	0.428227625	NA	NA	NA	NA	NA	NA
AX747088	0.4236291	NA	NA	NA	NA	NA	NA
BC067347	0.42274885	0.4419455	NA	NA	NA	NA	-0.35442339999999994
SPARCL1	0.41130445000000004	0.373314175	NA	NA	NA	NA	NA
TAGLN	0.408515375	0.3720218125	NA	NA	NA	NA	NA
NKAPL	0.40499600249999995	NA	NA	NA	NA	NA	-0.32857467500000004
DNM3OS	0.4031273375	NA	NA	NA	NA	NA	NA
AK056817	0.400548025	0.43362265	NA	NA	NA	NA	NA
CFH	0.39941315	0.47444545	NA	NA	NA	NA	NA
VCAM1	0.39855435	NA	NA	NA	NA	NA	NA
BC039364	0.39842035	0.32771724999999996	NA	NA	NA	NA	NA
LOC100506314	0.3933164	NA	NA	NA	NA	NA	NA
RGS7	0.39276608950549846	0.37572232641672887	NA	NA	NA	NA	-0.4830361473833552
CDO1	0.389108655625	NA	NA	NA	NA	NA	-0.45495786250000003
LOC100132724	0.3833248	NA	NA	0.3244347000000001	0.41338745	0.33103605	0.39495990000000003
FMO2	0.37809442499999996	0.42243365	NA	NA	NA	NA	NA
CCDC8	0.3769829983333334	NA	NA	NA	NA	NA	-0.45488829999999997
VSTM2B	0.37668704999999997	0.34158374999999996	NA	NA	NA	NA	-0.33438730000000005
CLEC2L	0.37418277499999997	NA	NA	NA	NA	NA	-0.39592605000000003
ZNF177	0.3738947415	0.32853236700000005	NA	NA	NA	NA	-0.3859072
COL5A2	0.37320729100000005	NA	NA	NA	NA	NA	-0.30721789999999993
ANGPTL2	0.36739864999999994	0.30475244999999995	NA	NA	NA	NA	NA
GDF5	0.3631782499999999	0.3538141999999999	NA	NA	NA	NA	NA
DDR2	0.359345975	0.40798635000000005	NA	NA	NA	NA	NA
