Gene	NORM_diff	TN_diff	LuminalA_diff	LuminalB_diff	Luminal_HER2_diff	HER2_diff	InVitro_diff
NPTX2	0.55599126	NA	NA	NA	NA	NA	-0.3312961
TRNA_Und	0.53519435	NA	NA	NA	NA	NA	-0.32355730000000005
BX161496	0.5117229575	0.505686975	NA	NA	NA	0.3832945	-0.399481125
VWC2	0.5107444871428571	0.4669169978571428	NA	NA	NA	NA	-0.38661484285714287
SLC18A2	0.5011718	0.4589875499999999	0.3267687499999999	NA	NA	NA	-0.3103796500000001
BX537900	0.49937707500000006	NA	NA	NA	NA	NA	-0.3369488249999999
RCN3	0.49807670000000004	0.47006520000000007	NA	NA	NA	0.40510740000000006	NA
SLC22A3	0.49799962499999995	0.44978124999999997	NA	NA	NA	NA	-0.4248497
ACTN2	0.48524002748451955	0.3349033711521746	NA	NA	NA	0.3086568331426262	-0.3326869942293875
FSTL1	0.48118015250000007	0.47496883500000003	0.43950908000000005	0.3468757250000001	NA	0.30189375000000007	-0.42568962499999996
TMEM132C	0.47920645666666667	NA	NA	NA	NA	NA	-0.4044481166666667
SH3RF3	0.4729218089999999	0.4520855749999999	0.3530207899999999	NA	NA	0.3530385749999999	-0.3594020900000001
AK055267	0.47179204999999996	0.4109036	NA	NA	NA	NA	NA
RCSD1	0.469706530374183	0.464693324845622	0.37967789368036786	NA	NA	NA	-0.41934605819182025
LINC00092	0.46641028999999995	0.46440700499999993	NA	NA	NA	0.3736377066666666	-0.40423031666666676
GSC2	0.4641674500000001	0.4410267150000001	0.34812082500000013	NA	NA	NA	-0.3625514249999999
ADAMTS12	0.46282044999999994	0.43098525	0.30694124999999994	NA	NA	NA	-0.33461825
DNM3	0.46221943555754663	0.46197824106908025	NA	NA	NA	NA	-0.3905407870211637
SCT	0.460691825	NA	NA	NA	NA	NA	NA
DUOXA1	0.4598902518749999	0.4365702899999999	0.3236264749999999	NA	NA	NA	-0.43122656250000013
IGFBP7	0.4582044314285714	0.4558750228571428	NA	0.38198043285714284	NA	0.3846727978571428	-0.4252772071428571
AK023304	0.4577833616666667	NA	0.3506494233333334	0.3488711833333334	NA	NA	-0.3526387166666666
LOC284395	0.4547485124999999	0.41136399999999995	NA	NA	NA	NA	-0.3115062500000001
INA	0.45263069499999997	0.43169944	NA	NA	NA	NA	-0.45330345000000005
C3orf72	0.4503227808333333	0.4635331758333333	0.31523437666666665	NA	NA	NA	-0.4030006083333334
TCF24	0.44743044	0.43284277499999996	NA	NA	NA	0.31533539999999993	-0.3584583750000001
AK124439	0.446568705	0.42905523999999995	NA	0.40886515999999995	NA	NA	-0.46224735000000006
CCDC8	0.44540308166666664	NA	NA	NA	NA	NA	-0.38646821666666664
TM6SF2	0.4426678125	0.349884125	NA	NA	NA	NA	-0.42275375000000004
TTYH1	0.44061585000000003	0.43267266583333336	NA	NA	NA	0.3189736825	-0.4514576083333333
CLEC2L	0.44052575000000005	0.30831767500000007	NA	NA	NA	NA	-0.32958307499999995
ZNF471	0.4401549342857143	0.42235624714285713	NA	NA	NA	0.3618261507142857	-0.4245456357142857
ZFP106	0.439506225	NA	NA	NA	NA	NA	NA
CDH4	0.4377881325	0.4032147025	NA	NA	NA	NA	-0.45407909999999996
CPNE5	0.43676743500000004	0.42280511000000004	NA	NA	NA	NA	-0.45239304999999996
FOXF2	0.435793435	0.42113922	0.40928023999999996	NA	NA	0.320912875	-0.4392232750000001
ACTL6B	0.43538650500000003	NA	NA	NA	NA	NA	-0.3412592
HES5	0.43472974899906414	0.42918697071177103	0.39698323138672387	0.30281018696671075	NA	NA	-0.4454570359523889
PTPRN	0.4316613199999999	NA	NA	NA	NA	NA	-0.3880434800000001
FOXL2	0.43062156999999995	0.4341925525	NA	NA	NA	NA	-0.37429123750000004
BHLHE23	0.42924426875	0.39591455875	0.33643639	NA	NA	NA	-0.40898115625
RGS7	0.42854511112477145	0.41150134803600186	NA	NA	NA	NA	-0.4472571257640822
ZIK1	0.4272233631249999	0.3536757287499999	0.30842135749999994	NA	NA	NA	-0.40317217500000013
ADAMTS16	0.42686718500000004	0.389541075	NA	NA	NA	NA	-0.38607912499999997
