Category	Accession	Patient_ID	Gene	Value
Normal	GSM4201284	9992576115_R01C01	ABCA8	0.4881651
Normal	GSM4201284	9992576115_R01C01	CUX2	0.4054711425
Normal	GSM4201284	9992576115_R01C01	CYP1B1-AS1	0.5843994
Normal	GSM4201284	9992576115_R01C01	FGD2	0.5026363
Normal	GSM4201284	9992576115_R01C01	FGF13	0.43178671659812085
Normal	GSM4201284	9992576115_R01C01	HORMAD2	0.47794322222222224
Normal	GSM4201284	9992576115_R01C01	LRRC25	0.30151685
Normal	GSM4201284	9992576115_R01C01	MARK2P9	0.21004910000000002
Normal	GSM4201284	9992576115_R01C01	MCHR2	0.28223672499999997
Normal	GSM4201284	9992576115_R01C01	MTMR11	0.34308
Normal	GSM4201284	9992576115_R01C01	PAX9	0.364095865
Normal	GSM4201284	9992576115_R01C01	PTPN22	0.6071392333333333
Normal	GSM4201284	9992576115_R01C01	RAP1GAP2	0.487801275
Normal	GSM4201284	9992576115_R01C01	SPAG6	0.155728573
Normal	GSM4201285	9992576115_R05C01	ABCA8	0.4896074
Normal	GSM4201285	9992576115_R05C01	CUX2	0.4669515175
Normal	GSM4201285	9992576115_R05C01	CYP1B1-AS1	0.60878485
Normal	GSM4201285	9992576115_R05C01	FGD2	0.56792705
Normal	GSM4201285	9992576115_R05C01	FGF13	0.42737706374433154
Normal	GSM4201285	9992576115_R05C01	HORMAD2	0.5316091666666667
Normal	GSM4201285	9992576115_R05C01	LRRC25	0.3378755
Normal	GSM4201285	9992576115_R05C01	MARK2P9	0.21220974999999997
Normal	GSM4201285	9992576115_R05C01	MCHR2	0.455394425
Normal	GSM4201285	9992576115_R05C01	MTMR11	0.3196603571428571
Normal	GSM4201285	9992576115_R05C01	PAX9	0.40258411
Normal	GSM4201285	9992576115_R05C01	PTPN22	0.6073206666666666
Normal	GSM4201285	9992576115_R05C01	RAP1GAP2	0.477334075
Normal	GSM4201285	9992576115_R05C01	SPAG6	0.179808978
Normal	GSM4201286	9992576115_R03C02	ABCA8	0.4615701
Normal	GSM4201286	9992576115_R03C02	CUX2	0.417189725
Normal	GSM4201286	9992576115_R03C02	CYP1B1-AS1	0.5532663
Normal	GSM4201286	9992576115_R03C02	FGD2	0.4753559
Normal	GSM4201286	9992576115_R03C02	FGF13	0.441087178049949
Normal	GSM4201286	9992576115_R03C02	HORMAD2	0.3607508555555555
Normal	GSM4201286	9992576115_R03C02	LRRC25	0.29984735
Normal	GSM4201286	9992576115_R03C02	MARK2P9	0.1527201
Normal	GSM4201286	9992576115_R03C02	MCHR2	0.31384884999999996
Normal	GSM4201286	9992576115_R03C02	MTMR11	0.3590173428571429
Normal	GSM4201286	9992576115_R03C02	PAX9	0.3480603525
Normal	GSM4201286	9992576115_R03C02	PTPN22	0.5903276666666667
Normal	GSM4201286	9992576115_R03C02	RAP1GAP2	0.43654165
Normal	GSM4201286	9992576115_R03C02	SPAG6	0.161182182
Normal	GSM4201287	9992576144_R01C01	ABCA8	0.4797839
Normal	GSM4201287	9992576144_R01C01	CUX2	0.388287645
Normal	GSM4201287	9992576144_R01C01	CYP1B1-AS1	0.5329574
Normal	GSM4201287	9992576144_R01C01	FGD2	0.4596642
Normal	GSM4201287	9992576144_R01C01	FGF13	0.42378793840016493
Normal	GSM4201287	9992576144_R01C01	HORMAD2	0.5075886222222222
Normal	GSM4201287	9992576144_R01C01	LRRC25	0.298291
Normal	GSM4201287	9992576144_R01C01	MARK2P9	0.36599574999999995
Normal	GSM4201287	9992576144_R01C01	MCHR2	0.410300475
Normal	GSM4201287	9992576144_R01C01	MTMR11	0.3250806857142857
Normal	GSM4201287	9992576144_R01C01	PAX9	0.3393812925
Normal	GSM4201287	9992576144_R01C01	PTPN22	0.4803902666666667
Normal	GSM4201287	9992576144_R01C01	RAP1GAP2	0.47615104999999996
Normal	GSM4201287	9992576144_R01C01	SPAG6	0.26133809
Normal	GSM4201288	9992576144_R05C01	ABCA8	0.4370959
Normal	GSM4201288	9992576144_R05C01	CUX2	0.4264210775
Normal	GSM4201288	9992576144_R05C01	CYP1B1-AS1	0.5153896499999999
Normal	GSM4201288	9992576144_R05C01	FGD2	0.6030885
Normal	GSM4201288	9992576144_R05C01	FGF13	0.4813310904817243
Normal	GSM4201288	9992576144_R05C01	HORMAD2	0.4971351222222222
Normal	GSM4201288	9992576144_R05C01	LRRC25	0.33992374999999997
Normal	GSM4201288	9992576144_R05C01	MARK2P9	0.2240742
Normal	GSM4201288	9992576144_R05C01	MCHR2	0.384418425
Normal	GSM4201288	9992576144_R05C01	MTMR11	0.29743307142857145
Normal	GSM4201288	9992576144_R05C01	PAX9	0.36331756
Normal	GSM4201288	9992576144_R05C01	PTPN22	0.5474903666666666
Normal	GSM4201288	9992576144_R05C01	RAP1GAP2	0.5134649875
Normal	GSM4201288	9992576144_R05C01	SPAG6	0.187942979
Normal	GSM4201289	9992576144_R03C02	ABCA8	0.388639
Normal	GSM4201289	9992576144_R03C02	CUX2	0.34366755
Normal	GSM4201289	9992576144_R03C02	CYP1B1-AS1	0.62014655
Normal	GSM4201289	9992576144_R03C02	FGD2	0.55073595
Normal	GSM4201289	9992576144_R03C02	FGF13	0.4170281662828717
Normal	GSM4201289	9992576144_R03C02	HORMAD2	0.6116219333333334
Normal	GSM4201289	9992576144_R03C02	LRRC25	0.33766280000000004
Normal	GSM4201289	9992576144_R03C02	MARK2P9	0.41500055
Normal	GSM4201289	9992576144_R03C02	MCHR2	0.284644075
Normal	GSM4201289	9992576144_R03C02	MTMR11	0.3538056428571429
Normal	GSM4201289	9992576144_R03C02	PAX9	0.53148205
Normal	GSM4201289	9992576144_R03C02	PTPN22	0.3909419
Normal	GSM4201289	9992576144_R03C02	RAP1GAP2	0.436616625
Normal	GSM4201289	9992576144_R03C02	SPAG6	0.50048062
Luminal A	GSM4201290	9992576148_R01C01	ABCA8	0.4740097
Luminal A	GSM4201290	9992576148_R01C01	CUX2	0.3731743275
Luminal A	GSM4201290	9992576148_R01C01	CYP1B1-AS1	0.55201335
Luminal A	GSM4201290	9992576148_R01C01	FGD2	0.48365285
Luminal A	GSM4201290	9992576148_R01C01	FGF13	0.415996543034156
Luminal A	GSM4201290	9992576148_R01C01	HORMAD2	0.5024093888888889
Luminal A	GSM4201290	9992576148_R01C01	LRRC25	0.3362279
Luminal A	GSM4201290	9992576148_R01C01	MARK2P9	0.19190695
Luminal A	GSM4201290	9992576148_R01C01	MCHR2	0.369113375
Luminal A	GSM4201290	9992576148_R01C01	MTMR11	0.3380090142857143
Luminal A	GSM4201290	9992576148_R01C01	PAX9	0.3706029
Luminal A	GSM4201290	9992576148_R01C01	PTPN22	0.3161138
Luminal A	GSM4201290	9992576148_R01C01	RAP1GAP2	0.473764125
Luminal A	GSM4201290	9992576148_R01C01	SPAG6	0.28375531
Luminal A	GSM4201291	9992576148_R05C01	ABCA8	0.3774943
Luminal A	GSM4201291	9992576148_R05C01	CUX2	0.463415505
Luminal A	GSM4201291	9992576148_R05C01	CYP1B1-AS1	0.6194530500000001
Luminal A	GSM4201291	9992576148_R05C01	FGD2	0.5236521000000001
Luminal A	GSM4201291	9992576148_R05C01	FGF13	0.5417030867196463
Luminal A	GSM4201291	9992576148_R05C01	HORMAD2	0.6599260111111112
Luminal A	GSM4201291	9992576148_R05C01	LRRC25	0.48478565
Luminal A	GSM4201291	9992576148_R05C01	MARK2P9	0.5448591
Luminal A	GSM4201291	9992576148_R05C01	MCHR2	0.4440246
Luminal A	GSM4201291	9992576148_R05C01	MTMR11	0.47016294285714283
